station_id,station_name,coordinates,capacity,latitude,longitude,distance_km,area_group
32014,Place du Cornillon - Stade de France,"[48.92540695835961, 2.3644426837563515]",34,48.92540695835961,2.3644426837563515,7.703161828259042,Peripheral (>5 km)
44102,Verdun - Adrien Damalix,"[48.8222334178559, 2.4215328320860863]",26,48.8222334178559,2.4215328320860863,6.352164006890071,Peripheral (>5 km)
35017,Toffier Decaux - Cartier Bresson,"[48.90165072551549, 2.4017545580863957]",18,48.90165072551549,2.4017545580863957,6.182723755424606,Peripheral (>5 km)
4110,Neuve Saint-Pierre - Beautreillis,"[48.85355351439652, 2.3639122769236565]",20,48.85355351439652,2.3639122769236565,0.921428313894051,Central (<=5 km)
6017,Sénat - Condé,"[48.84954227788459, 2.337939441204071]",33,48.84954227788459,2.337939441204071,1.3055745502229765,Central (<=5 km)
17201,Porte Maillot - Perreire,"[48.878021154637, 2.2842371277102]",51,48.878021154637,2.2842371277102,5.512309328074792,Peripheral (>5 km)
20019,Place du Maquis du Vercors,"[48.877321579493575, 2.4083782732486725]",31,48.877321579493575,2.4083782732486725,4.711079901277649,Central (<=5 km)
15061,Square Desnouettes,"[48.83476837934194, 2.284142297394666]",22,48.83476837934194,2.284142297394666,5.540351895498971,Peripheral (>5 km)
11107,Faidherbe - Dahomey,"[48.851358329771806, 2.383823134795429]",44,48.851358329771806,2.383823134795429,2.3859617321134086,Central (<=5 km)
2014,Daunou - Louis le Grand,"[48.869113, 2.332515]",32,48.869113,2.332515,2.002369767425405,Central (<=5 km)
8029,Place du Canada,"[48.865346269363, 2.3101937879648]",58,48.865346269363,2.3101937879648,3.2231427014097465,Central (<=5 km)
35008,Place de l'Eglise - Pantin,"[48.892809461520265, 2.4124351143836975]",30,48.892809461520265,2.4124351143836975,5.9680090256790885,Peripheral (>5 km)
16041,Versailles - Claude Terrasse,"[48.840219338074, 2.263834191153]",46,48.840219338074,2.263834191153,6.717574234512998,Peripheral (>5 km)
21009,Le Corbusier - Jean Jaurès,"[48.83780830557548, 2.2408381104469304]",46,48.83780830557548,2.2408381104469304,8.412429849945392,Peripheral (>5 km)
31707,Edouard Vaillant - Galliéni,"[48.858462881661, 2.4147954583168]",49,48.858462881661,2.4147954583168,4.584096030871192,Central (<=5 km)
11031,Jacquard - Ternaux,"[48.8646605, 2.373162]",39,48.8646605,2.373162,1.7761852497673933,Central (<=5 km)
16101,Malakoff - Place de la Porte Maillot,"[48.876733496638, 2.2834577411413]",28,48.876733496638,2.2834577411413,5.5040574797041355,Peripheral (>5 km)
10018,Square Alban Satragne,"[48.875388227727, 2.3559567333359]",30,48.875388227727,2.3559567333359,2.1071501472233307,Central (<=5 km)
42701,Charles Gide - Fort de Bicêtre,"[48.8071937956922, 2.353984415531159]",30,48.8071937956922,2.353984415531159,5.4952716963806365,Peripheral (>5 km)
8549,George V - Christophe Colomb,"[48.87046, 2.30104]",24,48.87046,2.30104,4.047275039145806,Central (<=5 km)
16011,Victor Hugo - La Pompe,"[48.86795222470859, 2.28146318346262]",41,48.86795222470859,2.28146318346262,5.326278635447749,Peripheral (>5 km)
12007,Gare de Lyon - Chalon,"[48.845666194202, 2.3741452395916]",45,48.845666194202,2.3741452395916,2.014046777855996,Central (<=5 km)
13032,Italie - Jardin Joan Miro,"[48.81990914045756, 2.3592948541045193]",26,48.81990914045756,2.3592948541045193,4.112747926932437,Central (<=5 km)
15064,Javel - André Citroën,"[48.846276485475, 2.2786368057132]",45,48.846276485475,2.2786368057132,5.503503968616012,Peripheral (>5 km)
21401,Mairie de Clamart,"[48.800612, 2.262151]",33,48.800612,2.262151,9.066874899866654,Peripheral (>5 km)
33016,Fort d'Aubervilliers,"[48.91502382370325, 2.4035281687974925]",22,48.91502382370325,2.4035281687974925,7.502570354318744,Peripheral (>5 km)
19210,Place des Fêtes - Solitaires,"[48.876644633122, 2.3920327806309]",29,48.876644633122,2.3920327806309,3.6683570549378373,Central (<=5 km)
1007,Turbigo - Française,"[48.86358858111446, 2.3477794602513313]",16,48.86358858111446,2.3477794602513313,0.8416972421447219,Central (<=5 km)
18004,Place des Abbesses,"[48.884542726149725, 2.3386867716908455]",12,48.884542726149725,2.3386867716908455,3.260498449253406,Central (<=5 km)
